@relation twit_classification

@attribute 1st_person_pro numeric
@attribute 2nd_person_pro numeric
@attribute 3rd_person_pro numeric
@attribute coord_conj numeric
@attribute past_verb numeric
@attribute future_tense numeric
@attribute comma numeric
@attribute colon numeric
@attribute dash numeric
@attribute parenthese numeric
@attribute ellipse numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute slang numeric
@attribute all_upper_word numeric
@attribute avg_sent_len numeric
@attribute avg_token_len numeric
@attribute num_of_sent numeric
@attribute twit {Barack-Obama,Stephen-Colbert,Ashton-Kutcher,Kim-Kardashian,Neil-Tyson,Shakira}

@data
0,0,1,0,0,0,1,0,0,0,0,4,0,3,0,1,0,20.000000,4.761905,1,Barack-Obama
0,0,0,0,0,0,2,1,3,6,0,5,2,0,0,0,3,14.000000,2.086957,1,Barack-Obama
1,1,0,0,0,0,0,1,0,0,0,7,2,0,0,0,0,9.000000,4.684211,2,Barack-Obama
0,0,0,1,1,0,0,1,0,0,0,5,3,0,0,0,0,8.500000,4.055556,2,Barack-Obama
1,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,12.000000,4.500000,1,Barack-Obama
1,2,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,6.000000,3.076923,2,Barack-Obama
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,8.500000,3.666667,2,Barack-Obama
0,0,0,0,1,0,0,1,0,0,0,6,2,0,0,0,0,17.000000,4.722222,1,Barack-Obama
0,4,0,1,0,0,5,1,0,0,0,6,0,0,0,0,0,13.000000,2.600000,2,Barack-Obama
0,0,0,0,1,0,0,1,0,0,0,7,2,0,1,0,0,9.500000,4.250000,2,Barack-Obama
1,0,0,1,0,0,2,0,3,0,0,4,1,0,0,0,0,14.500000,3.156250,2,Barack-Obama
2,0,0,0,0,0,0,1,1,0,0,6,1,0,0,0,1,18.000000,3.600000,1,Barack-Obama
0,1,0,0,0,0,0,1,0,0,0,6,4,0,0,0,0,9.000000,4.450000,2,Barack-Obama
0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,9.000000,5.181818,1,Barack-Obama
0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,8.000000,4.823529,2,Barack-Obama
0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,9.000000,4.105263,2,Barack-Obama
1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,6.500000,2.750000,2,Barack-Obama
0,0,0,2,0,0,0,0,0,0,0,2,4,0,1,0,0,19.000000,4.300000,1,Barack-Obama
1,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,7.000000,4.133333,2,Barack-Obama
0,1,0,0,0,0,1,1,0,0,0,5,0,1,0,0,0,20.000000,3.772727,1,Barack-Obama
0,1,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,8.000000,3.764706,2,Barack-Obama
