@relation twit_classification

@attribute 1st_person_pro numeric
@attribute 2nd_person_pro numeric
@attribute 3rd_person_pro numeric
@attribute coord_conj numeric
@attribute past_verb numeric
@attribute future_tense numeric
@attribute comma numeric
@attribute colon numeric
@attribute dash numeric
@attribute parenthese numeric
@attribute ellipse numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute slang numeric
@attribute all_upper_word numeric
@attribute avg_sent_len numeric
@attribute avg_token_len numeric
@attribute num_of_sent numeric
@attribute twit {Britney-Spears,Justin-Bieber,Katy-Perry,Lady-Gaga,Rihanna,Taylor-Swift}

@data
0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,4.000000,3.400000,1,Britney-Spears
0,1,0,1,0,0,0,1,1,0,0,7,0,1,1,0,0,24.000000,3.160000,1,Britney-Spears
1,1,1,0,0,0,0,1,1,0,0,3,1,3,0,1,0,10.500000,2.880000,2,Britney-Spears
0,3,0,0,1,0,0,1,1,0,0,4,2,1,1,0,5,4.750000,2.857143,4,Britney-Spears
0,0,1,0,0,0,2,1,2,0,0,3,6,1,0,0,0,11.000000,3.307692,2,Britney-Spears
1,1,1,1,2,0,1,1,1,1,0,4,1,2,0,1,2,19.000000,2.869565,1,Britney-Spears
1,2,0,0,1,0,0,0,1,0,0,8,3,2,0,1,4,23.000000,3.269231,1,Britney-Spears
1,0,0,1,0,0,0,0,1,0,0,8,1,3,0,1,0,11.000000,3.608696,2,Britney-Spears
1,1,1,0,1,0,1,0,1,0,0,2,0,2,1,1,0,14.000000,3.562500,1,Britney-Spears
1,0,0,0,1,1,0,0,2,0,0,5,0,1,0,0,0,23.000000,3.480000,1,Britney-Spears
1,3,0,0,3,0,1,1,1,0,0,6,1,5,0,2,1,26.000000,3.142857,1,Britney-Spears
2,3,0,0,0,0,0,0,1,0,1,6,1,3,1,2,1,8.333333,3.142857,3,Britney-Spears
1,1,1,1,0,1,1,0,0,0,0,4,1,0,0,0,0,8.500000,3.238095,2,Britney-Spears
0,2,3,0,2,0,1,0,1,0,0,2,2,2,1,0,0,13.000000,3.413793,2,Britney-Spears
0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,4.000000,3.625000,2,Britney-Spears
